,Provedor,Estado,Longitude,Latitude
5790,Vivo,PA,-1.4477777777778,-48.495277777778
5948,Vivo,PA,-1.45861,-48.49361
5949,Vivo,PA,-1.4530555555556,-48.50111
5950,Vivo,PA,-1.45972,-48.48
5951,Vivo,PA,-1.4680555555556,-48.46583
5952,Vivo,PA,-1.4675,-48.48972
5953,Vivo,PA,-1.42833,-48.48306
5954,Vivo,PA,-1.3908333333333,-48.481111111111
5955,Vivo,PA,-1.43694,-48.45556
5956,Vivo,PA,-1.36694,-48.37556
5957,Vivo,PA,-1.3513888888889,-48.476111111111
5958,Vivo,PA,-1.3702777777778,-48.44333
5959,Vivo,PA,-1.29833,-48.47861
5960,Vivo,PA,-1.25333,-48.46028
5963,Vivo,PA,-1.10278,-48.40194
5964,Vivo,PA,-1.14139,-48.46
5998,Vivo,PA,-1.4036111111111,-48.431944444444
5999,Vivo,PA,-1.3386111111111,-48.450555555556
6160,Vivo,PA,-1.4466666666667,-48.4775
6633,Vivo,PA,-2.43917,-54.71806
6634,Vivo,PA,-2.51056,-54.95361
6778,Vivo,PA,-1.3377777777778,-48.24444
6779,Vivo,PA,-1.29056,-48.15028
6780,Vivo,PA,-1.34694,-47.57638
6781,Vivo,PA,-1.29722,-47.92083
6782,Vivo,PA,-1.19556,-47.18194
6783,Vivo,PA,-0.62611,-47.34167
6784,Vivo,PA,-0.59972,-47.30972
6785,Vivo,PA,-1.3511111111111,-48.408611111111
6786,Vivo,PA,-1.41861,-48.465
7091,Vivo,PA,-1.55694,-48.72833
7204,Vivo,PA,-1.06361,-46.76666
7205,Vivo,PA,-5.34806,-49.08472
7206,Vivo,PA,-5.365,-49.11472
7207,Vivo,PA,-0.85833,-48.13472
7291,Vivo,PA,-1.51277,-48.68361
7292,Vivo,PA,-2.99111,-47.37055
7679,Vivo,PA,-0.75194,-48.52666
7772,Vivo,PA,-1.45222,-48.46722
7773,Vivo,PA,-1.38472,-48.40722
7774,Vivo,PA,-1.3972222222222,-48.454722222222
7776,Vivo,PA,-1.37168,-48.32994
7868,Vivo,PA,-1.90722,-48.76944
8406,Vivo,PA,-8.0358333333333,-50.019444444444
8408,Vivo,PA,-2.91972,-48.95833
8412,Vivo,PA,-1.6741666666667,-47.49833
8413,Vivo,PA,-8.2741666666667,-49.27361
8414,Vivo,PA,-4.78694,-48.065
8447,Vivo,PA,-3.76389,-49.68222
